1,1,233.38,179.72,186.47,570.21,0.9800,-1,-1,-1
1,2,-32.48,126.56,223.85,661.84,0.9717,-1,-1,-1
1,3,445.16,201.15,150.52,365.18,0.9668,-1,-1,-1
1,4,813.38,227.14,86.40,254.48,0.9581,-1,-1,-1
1,5,959.18,215.66,110.70,269.33,0.9541,-1,-1,-1
1,6,579.83,205.37,142.42,346.11,0.9498,-1,-1,-1
1,7,1055.70,223.43,58.05,195.41,0.9275,-1,-1,-1
1,8,930.15,243.00,51.30,174.15,0.9255,-1,-1,-1
1,9,1155.60,234.56,47.25,171.11,0.9030,-1,-1,-1
1,10,1124.55,242.83,54.00,155.42,0.8845,-1,-1,-1
1,11,182.08,275.40,45.90,126.90,0.8490,-1,-1,-1
1,12,206.55,281.14,34.09,108.67,0.7078,-1,-1,-1
2,1,221.41,186.80,186.96,571.08,0.9810,-1,-1,-1
2,2,-45.96,133.52,224.94,664.62,0.9634,-1,-1,-1
2,3,441.28,205.99,151.76,368.25,0.9605,-1,-1,-1
2,4,813.29,232.82,86.64,255.21,0.9561,-1,-1,-1
2,5,960.50,220.30,111.72,271.67,0.9493,-1,-1,-1
2,6,574.94,210.63,145.44,353.43,0.9508,-1,-1,-1
2,7,1052.15,230.97,58.33,196.00,0.9303,-1,-1,-1
2,8,931.06,248.37,50.78,172.25,0.9274,-1,-1,-1
2,9,1151.37,240.93,47.75,172.28,0.9095,-1,-1,-1
2,10,1118.83,246.13,56.31,162.59,0.9029,-1,-1,-1
2,11,184.00,281.58,43.84,121.04,0.6872,-1,-1,-1
3,1,211.56,193.90,191.83,585.04,0.9727,-1,-1,-1
3,2,-59.28,137.70,229.46,677.57,0.9204,-1,-1,-1
3,3,438.22,211.91,153.12,371.79,0.9629,-1,-1,-1
3,4,812.82,239.28,86.68,255.33,0.9498,-1,-1,-1
3,5,961.89,225.54,111.85,272.07,0.9428,-1,-1,-1
3,6,575.60,214.68,146.16,355.47,0.9474,-1,-1,-1
3,7,1050.72,235.93,58.09,194.52,0.9303,-1,-1,-1
3,8,932.34,254.92,50.70,171.52,0.9245,-1,-1,-1
3,9,1148.65,246.60,47.83,171.04,0.9211,-1,-1,-1
3,10,1116.29,250.37,56.93,165.12,0.9124,-1,-1,-1
4,1,200.85,198.48,199.41,607.48,0.9717,-1,-1,-1
4,2,-74.69,144.66,234.84,692.83,0.9304,-1,-1,-1
4,3,435.61,216.53,155.55,377.85,0.9634,-1,-1,-1
